InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536016,71053,White Metal Lantern,5,2025-03-11 17:00:00,3.39,12106,United Kingdom
536016,85123A,White Hanging Heart T-Light Holder,9,2024-09-26 21:00:00,2.55,12087,United Kingdom
536016,71053,White Metal Lantern,3,2024-06-16 20:00:00,3.39,12158,United Kingdom
536016,84406B,Cream Cupid Hearts Coat Hanger,9,2025-02-16 23:00:00,2.75,12090,United Kingdom
536017,84406B,Cream Cupid Hearts Coat Hanger,6,2025-06-08 18:00:00,2.75,12106,United Kingdom
536017,21730,Glass Star Frosted T-Light Holder,11,2024-06-20 06:00:00,4.25,12056,United Kingdom
536017,85123A,White Hanging Heart T-Light Holder,11,2025-06-26 04:00:00,2.55,12138,Germany
536017,84406B,Cream Cupid Hearts Coat Hanger,4,2024-01-23 23:00:00,2.75,12005,United Kingdom
536018,22633,Hand Warmer Union Jack,7,2025-03-06 01:00:00,1.85,12067,United Kingdom
536018,71053,White Metal Lantern,3,2024-02-22 05:00:00,3.39,12141,United Kingdom
536018,84029E,Red Woolly Hottie White Heart,6,2025-03-09 19:00:00,3.39,12162,United Kingdom
536018,85123A,White Hanging Heart T-Light Holder,11,2025-10-04 18:00:00,2.55,12062,United Kingdom
536019,84029G,Knitted Union Flag Hot Water Bottle,11,2024-07-25 06:00:00,3.39,12130,Netherlands
536019,21730,Glass Star Frosted T-Light Holder,12,2024-11-13 18:00:00,4.25,12092,United Kingdom
536019,84029E,Red Woolly Hottie White Heart,6,2025-05-26 23:00:00,3.39,12051,United Kingdom
536019,22633,Hand Warmer Union Jack,9,2025-03-02 13:00:00,1.85,12121,United Kingdom
536020,21730,Glass Star Frosted T-Light Holder,3,2024-01-08 14:00:00,4.25,12124,Spain
536020,21730,Glass Star Frosted T-Light Holder,1,2024-08-23 22:00:00,4.25,12163,United Kingdom
536020,22752,Set 7 Babushka Nesting Boxes,9,2024-07-07 16:00:00,7.65,12067,United Kingdom
536020,71053,White Metal Lantern,1,2024-10-23 18:00:00,3.39,,Germany
536021,84029E,Red Woolly Hottie White Heart,10,2025-06-21 06:00:00,3.39,12011,United Kingdom
536021,84406B,Cream Cupid Hearts Coat Hanger,9,2024-04-27 02:00:00,2.75,12026,United Kingdom
536021,21730,Glass Star Frosted T-Light Holder,6,2024-12-23 06:00:00,4.25,12140,United Kingdom
536021,84029G,Knitted Union Flag Hot Water Bottle,3,2025-02-07 12:00:00,3.39,12074,United Kingdom
536022,22752,Set 7 Babushka Nesting Boxes,3,2024-09-14 23:00:00,7.65,12099,Spain
536022,85123A,White Hanging Heart T-Light Holder,10,2025-10-17 17:00:00,2.55,12165,Netherlands
536022,22752,Set 7 Babushka Nesting Boxes,9,2024-02-10 15:00:00,7.65,12043,United Kingdom
536022,84406B,Cream Cupid Hearts Coat Hanger,3,2024-06-08 15:00:00,2.75,12007,United Kingdom
536023,85123A,White Hanging Heart T-Light Holder,6,2025-05-17 18:00:00,2.55,12016,United Kingdom
536023,84406B,Cream Cupid Hearts Coat Hanger,10,2024-12-05 03:00:00,2.75,12156,United Kingdom
536023,22752,Set 7 Babushka Nesting Boxes,8,2024-04-10 04:00:00,7.65,12027,United Kingdom
536023,84029E,Red Woolly Hottie White Heart,11,2025-04-20 04:00:00,3.39,12030,United Kingdom
536024,22633,Hand Warmer Union Jack,2,2024-12-03 14:00:00,1.85,12142,Germany
C536024,22633,Hand Warmer Union Jack,-10,2024-04-23 00:00:00,1.85,12088,United Kingdom
536024,71053,White Metal Lantern,8,2024-12-28 13:00:00,3.39,12079,France
536024,84029G,Knitted Union Flag Hot Water Bottle,3,2025-08-13 23:00:00,3.39,12083,United Kingdom
536025,22752,Set 7 Babushka Nesting Boxes,6,2025-11-04 16:00:00,7.65,12168,United Kingdom
536025,84406B,Cream Cupid Hearts Coat Hanger,4,2024-10-27 22:00:00,2.75,12118,Germany
536025,22752,Set 7 Babushka Nesting Boxes,6,2025-06-05 09:00:00,7.65,12104,United Kingdom
536025,22633,Hand Warmer Union Jack,12,2024-06-23 12:00:00,1.85,12145,United Kingdom
536026,22752,Set 7 Babushka Nesting Boxes,2,2024-12-30 03:00:00,7.65,12081,Germany
536026,22633,Hand Warmer Union Jack,5,2025-01-01 11:00:00,1.85,12037,United Kingdom
536026,84406B,Cream Cupid Hearts Coat Hanger,9,2025-01-01 02:00:00,2.75,12031,United Kingdom
536026,22633,Hand Warmer Union Jack,11,2025-06-29 17:00:00,1.85,12102,United Kingdom
536027,22752,Set 7 Babushka Nesting Boxes,11,2025-04-05 05:00:00,7.65,12104,United Kingdom
536027,22633,Hand Warmer Union Jack,11,2024-10-13 22:00:00,1.85,12162,United Kingdom
536027,22752,Set 7 Babushka Nesting Boxes,1,2024-08-24 11:00:00,7.65,12102,United Kingdom
536027,84029E,Red Woolly Hottie White Heart,3,2025-07-20 10:00:00,3.39,12085,Germany
536028,22633,Hand Warmer Union Jack,8,2024-01-17 09:00:00,1.85,12086,United Kingdom
536028,84029G,Knitted Union Flag Hot Water Bottle,11,2025-01-02 02:00:00,3.39,12030,United Kingdom
536028,84029G,Knitted Union Flag Hot Water Bottle,8,2025-01-13 09:00:00,3.39,12131,United Kingdom
536028,22752,Set 7 Babushka Nesting Boxes,2,2024-09-13 13:00:00,7.65,12142,United Kingdom
536029,85123A,White Hanging Heart T-Light Holder,2,2025-03-26 20:00:00,2.55,12039,Spain
536029,22633,Hand Warmer Union Jack,4,2024-08-21 12:00:00,1.85,12155,United Kingdom
536029,71053,White Metal Lantern,10,2024-07-01 06:00:00,3.39,12106,United Kingdom
536029,84029E,Red Woolly Hottie White Heart,7,2024-09-10 06:00:00,3.39,12011,United Kingdom
536030,84029G,Knitted Union Flag Hot Water Bottle,8,2025-04-11 06:00:00,3.39,12168,United Kingdom
536030,22752,Set 7 Babushka Nesting Boxes,10,2024-12-14 23:00:00,7.65,12122,United Kingdom
536030,22752,Set 7 Babushka Nesting Boxes,5,2025-10-31 08:00:00,7.65,12009,United Kingdom
536030,22633,Hand Warmer Union Jack,6,2025-09-28 17:00:00,1.85,12064,United Kingdom
536031,84029E,Red Woolly Hottie White Heart,9,2025-02-19 11:00:00,3.39,12102,United Kingdom
536031,85123A,White Hanging Heart T-Light Holder,7,2025-11-26 05:00:00,2.55,12016,United Kingdom
536031,84029E,Red Woolly Hottie White Heart,8,2024-05-04 04:00:00,3.39,12157,Germany
536031,22752,Set 7 Babushka Nesting Boxes,8,2025-04-09 00:00:00,7.65,12081,United Kingdom
536032,71053,White Metal Lantern,9,2024-12-17 21:00:00,3.39,12044,Spain
536032,21730,Glass Star Frosted T-Light Holder,11,2024-10-20 15:00:00,4.25,12027,United Kingdom
536032,84029G,Knitted Union Flag Hot Water Bottle,4,2025-11-24 23:00:00,3.39,12109,Germany
536032,84406B,Cream Cupid Hearts Coat Hanger,9,2025-01-04 21:00:00,2.75,12054,France
536033,22633,Hand Warmer Union Jack,3,2025-03-21 02:00:00,1.85,12143,United Kingdom
536033,21730,Glass Star Frosted T-Light Holder,9,2024-09-15 10:00:00,4.25,12157,United Kingdom
536033,84406B,Cream Cupid Hearts Coat Hanger,12,2024-06-28 13:00:00,2.75,12036,France
536033,85123A,White Hanging Heart T-Light Holder,11,2025-01-18 03:00:00,2.55,12008,France
536034,84406B,Cream Cupid Hearts Coat Hanger,3,2025-05-02 06:00:00,2.75,12068,United Kingdom
536034,84406B,Cream Cupid Hearts Coat Hanger,3,2024-03-14 13:00:00,2.75,12177,France
536034,84406B,Cream Cupid Hearts Coat Hanger,7,2025-10-30 23:00:00,2.75,12164,Netherlands
536034,85123A,White Hanging Heart T-Light Holder,5,2025-05-12 12:00:00,2.55,12056,Germany
536035,71053,White Metal Lantern,8,2025-07-09 17:00:00,3.39,12174,United Kingdom
536035,22752,Set 7 Babushka Nesting Boxes,3,2024-02-25 07:00:00,7.65,12130,United Kingdom
536035,85123A,White Hanging Heart T-Light Holder,2,2024-12-17 12:00:00,2.55,12090,United Kingdom
536035,85123A,White Hanging Heart T-Light Holder,3,2024-09-18 13:00:00,2.55,12128,Germany
536036,71053,White Metal Lantern,7,2025-08-14 16:00:00,3.39,12169,United Kingdom
536036,84406B,Cream Cupid Hearts Coat Hanger,4,2025-11-06 13:00:00,2.75,12057,United Kingdom
536036,84406B,Cream Cupid Hearts Coat Hanger,9,2025-08-01 02:00:00,2.75,12108,United Kingdom
536036,22752,Set 7 Babushka Nesting Boxes,12,2025-02-25 19:00:00,7.65,12053,United Kingdom
536037,22633,Hand Warmer Union Jack,9,2025-10-20 03:00:00,1.85,12155,United Kingdom
536037,84029G,Knitted Union Flag Hot Water Bottle,12,2024-06-07 12:00:00,3.39,12050,France
536037,22752,Set 7 Babushka Nesting Boxes,12,2024-08-04 03:00:00,7.65,12173,United Kingdom
536037,84029G,Knitted Union Flag Hot Water Bottle,11,2024-09-15 18:00:00,3.39,12110,Netherlands
536038,21730,Glass Star Frosted T-Light Holder,1,2024-07-17 03:00:00,4.25,12140,United Kingdom
536038,84029E,Red Woolly Hottie White Heart,5,2025-06-28 03:00:00,3.39,12093,United Kingdom
536038,22633,Hand Warmer Union Jack,5,2025-10-28 20:00:00,1.85,12090,Spain
536038,71053,White Metal Lantern,3,2024-10-31 05:00:00,3.39,12143,Spain
536039,22633,Hand Warmer Union Jack,7,2024-03-07 04:00:00,1.85,12155,Netherlands
536039,22752,Set 7 Babushka Nesting Boxes,5,2024-04-17 23:00:00,7.65,12174,United Kingdom
536039,22752,Set 7 Babushka Nesting Boxes,9,2024-05-14 13:00:00,7.65,12134,Germany
536039,84029E,Red Woolly Hottie White Heart,1,2024-02-27 12:00:00,3.39,12020,United Kingdom
536040,22633,Hand Warmer Union Jack,10,2025-06-11 16:00:00,1.85,12027,France
536040,22633,Hand Warmer Union Jack,10,2024-01-31 07:00:00,1.85,12122,United Kingdom
536040,22752,Set 7 Babushka Nesting Boxes,3,2024-05-23 21:00:00,7.65,12006,United Kingdom
536040,84406B,Cream Cupid Hearts Coat Hanger,9,2024-01-26 05:00:00,2.75,12065,Spain
536041,71053,White Metal Lantern,10,2024-06-12 17:00:00,3.39,12133,France
536041,22752,Set 7 Babushka Nesting Boxes,12,2025-02-23 12:00:00,7.65,12039,Spain
536041,84029G,Knitted Union Flag Hot Water Bottle,6,2024-11-27 11:00:00,3.39,,United Kingdom
536041,22752,Set 7 Babushka Nesting Boxes,7,2025-10-29 22:00:00,7.65,12010,United Kingdom
536042,84406B,Cream Cupid Hearts Coat Hanger,8,2024-06-04 14:00:00,2.75,12048,United Kingdom
536042,21730,Glass Star Frosted T-Light Holder,8,2024-01-23 15:00:00,4.25,12135,United Kingdom
536042,84029G,Knitted Union Flag Hot Water Bottle,7,2025-09-27 18:00:00,3.39,12008,France
536042,84029E,Red Woolly Hottie White Heart,4,2025-03-04 21:00:00,3.39,12133,United Kingdom
536043,21730,Glass Star Frosted T-Light Holder,12,2024-02-06 05:00:00,4.25,12148,United Kingdom
536043,84406B,Cream Cupid Hearts Coat Hanger,9,2025-05-18 10:00:00,2.75,12031,France
536043,71053,White Metal Lantern,9,2025-09-16 16:00:00,3.39,12043,United Kingdom
536043,71053,White Metal Lantern,2,2025-07-01 17:00:00,3.39,12106,Spain
536044,84029G,Knitted Union Flag Hot Water Bottle,4,2024-12-24 23:00:00,3.39,12013,France
536044,84406B,Cream Cupid Hearts Coat Hanger,9,2025-05-26 07:00:00,2.75,12068,United Kingdom
536044,84406B,Cream Cupid Hearts Coat Hanger,1,2024-06-07 06:00:00,2.75,12055,Netherlands
536044,85123A,White Hanging Heart T-Light Holder,6,2025-09-29 21:00:00,2.55,12177,Germany
536045,85123A,White Hanging Heart T-Light Holder,4,2025-10-19 16:00:00,2.55,12166,United Kingdom
536045,71053,White Metal Lantern,3,2024-03-30 18:00:00,3.39,12166,United Kingdom
536045,85123A,White Hanging Heart T-Light Holder,5,2024-02-29 20:00:00,2.55,12158,United Kingdom
536045,84029E,Red Woolly Hottie White Heart,2,2024-08-17 03:00:00,3.39,12179,United Kingdom
536046,84029G,Knitted Union Flag Hot Water Bottle,8,2025-04-25 22:00:00,3.39,12013,United Kingdom
536046,21730,Glass Star Frosted T-Light Holder,8,2024-11-27 03:00:00,4.25,12022,United Kingdom
536046,21730,Glass Star Frosted T-Light Holder,7,2024-05-02 08:00:00,4.25,12142,United Kingdom
536046,84406B,Cream Cupid Hearts Coat Hanger,3,2024-08-13 01:00:00,2.75,12060,United Kingdom
536047,22752,Set 7 Babushka Nesting Boxes,7,2024-08-18 23:00:00,7.65,12071,United Kingdom
536047,85123A,White Hanging Heart T-Light Holder,6,2024-06-27 05:00:00,2.55,12019,Spain
536047,84029G,Knitted Union Flag Hot Water Bottle,8,2024-07-22 17:00:00,3.39,12177,United Kingdom
536047,22752,Set 7 Babushka Nesting Boxes,3,2024-06-06 20:00:00,7.65,12126,United Kingdom
536048,21730,Glass Star Frosted T-Light Holder,2,2025-11-11 07:00:00,4.25,12178,United Kingdom
536048,22752,Set 7 Babushka Nesting Boxes,9,2024-04-23 22:00:00,7.65,12091,France
C536048,85123A,White Hanging Heart T-Light Holder,-11,2024-11-21 06:00:00,2.55,12064,United Kingdom
536048,84029G,Knitted Union Flag Hot Water Bottle,5,2024-09-02 14:00:00,3.39,12152,United Kingdom
536049,85123A,White Hanging Heart T-Light Holder,1,2024-08-27 23:00:00,2.55,12087,United Kingdom
536049,71053,White Metal Lantern,4,2025-10-06 00:00:00,3.39,12170,France
536049,84406B,Cream Cupid Hearts Coat Hanger,10,2025-10-15 02:00:00,2.75,12128,United Kingdom
536049,84406B,Cream Cupid Hearts Coat Hanger,1,2025-03-01 01:00:00,2.75,12156,United Kingdom
536050,84029E,Red Woolly Hottie White Heart,1,2025-02-07 18:00:00,3.39,12113,Netherlands
536050,21730,Glass Star Frosted T-Light Holder,11,2024-01-08 04:00:00,4.25,12160,United Kingdom
536050,71053,White Metal Lantern,2,2025-03-19 17:00:00,3.39,12058,United Kingdom
536050,71053,White Metal Lantern,7,2025-08-22 09:00:00,3.39,12070,France
536051,84029E,Red Woolly Hottie White Heart,5,2025-07-14 17:00:00,3.39,12114,United Kingdom
536051,22752,Set 7 Babushka Nesting Boxes,3,2024-02-12 03:00:00,7.65,12026,United Kingdom
536051,84029E,Red Woolly Hottie White Heart,12,2024-11-03 07:00:00,3.39,12103,Germany
536051,22752,Set 7 Babushka Nesting Boxes,3,2024-11-10 03:00:00,7.65,12025,United Kingdom
536052,22752,Set 7 Babushka Nesting Boxes,11,2025-06-23 02:00:00,7.65,12137,United Kingdom
536052,84029E,Red Woolly Hottie White Heart,9,2025-05-31 11:00:00,3.39,12137,United Kingdom
536052,22752,Set 7 Babushka Nesting Boxes,8,2024-08-28 02:00:00,7.65,12062,United Kingdom
536052,85123A,,12,2024-09-24 02:00:00,2.55,12159,United Kingdom
536053,21730,Glass Star Frosted T-Light Holder,11,2024-06-20 01:00:00,4.25,12148,United Kingdom
536053,21730,Glass Star Frosted T-Light Holder,11,2024-03-22 03:00:00,4.25,12127,United Kingdom
536053,85123A,White Hanging Heart T-Light Holder,10,2025-04-06 01:00:00,2.55,12131,United Kingdom
536053,21730,Glass Star Frosted T-Light Holder,4,2025-11-28 20:00:00,4.25,12176,United Kingdom
536054,22752,Set 7 Babushka Nesting Boxes,6,2024-10-28 11:00:00,7.65,12099,United Kingdom
536054,21730,Glass Star Frosted T-Light Holder,7,2025-05-12 14:00:00,4.25,12159,Germany
536054,84029G,Knitted Union Flag Hot Water Bottle,9,2025-05-31 07:00:00,3.39,12149,United Kingdom
536054,85123A,White Hanging Heart T-Light Holder,2,2024-10-21 07:00:00,2.55,12060,United Kingdom
536055,21730,Glass Star Frosted T-Light Holder,8,2025-08-17 20:00:00,4.25,12040,United Kingdom
536055,22752,Set 7 Babushka Nesting Boxes,1,2024-04-25 19:00:00,7.65,12139,Spain
536055,71053,White Metal Lantern,4,2024-06-17 10:00:00,3.39,12101,United Kingdom
536055,22752,Set 7 Babushka Nesting Boxes,11,2024-05-14 18:00:00,7.65,12132,United Kingdom
536056,22752,Set 7 Babushka Nesting Boxes,5,2024-05-12 09:00:00,7.65,12000,Netherlands
536056,22752,Set 7 Babushka Nesting Boxes,11,2025-09-21 15:00:00,7.65,12038,United Kingdom
536056,71053,White Metal Lantern,11,2024-09-17 16:00:00,3.39,12027,Germany
536056,22633,Hand Warmer Union Jack,6,2024-09-04 14:00:00,1.85,12152,United Kingdom
536057,22752,Set 7 Babushka Nesting Boxes,4,2025-08-28 16:00:00,7.65,12038,United Kingdom
536057,71053,White Metal Lantern,9,2024-06-28 02:00:00,3.39,12108,United Kingdom
536057,22633,Hand Warmer Union Jack,7,2025-08-26 12:00:00,1.85,12016,United Kingdom
536057,22633,Hand Warmer Union Jack,8,2024-05-14 21:00:00,1.85,12089,Spain
536058,21730,Glass Star Frosted T-Light Holder,3,2024-04-04 02:00:00,4.25,12109,United Kingdom
536058,84029G,Knitted Union Flag Hot Water Bottle,7,2025-04-23 07:00:00,3.39,12027,Spain
536058,85123A,White Hanging Heart T-Light Holder,3,2025-02-24 05:00:00,2.55,12154,United Kingdom
536058,21730,Glass Star Frosted T-Light Holder,2,2024-11-05 11:00:00,4.25,12177,United Kingdom
536059,71053,White Metal Lantern,7,2024-04-23 08:00:00,3.39,12162,United Kingdom
536059,84029E,Red Woolly Hottie White Heart,6,2025-02-28 15:00:00,3.39,12109,United Kingdom
536059,84406B,Cream Cupid Hearts Coat Hanger,9,2024-12-11 20:00:00,2.75,12107,United Kingdom
536059,84029E,Red Woolly Hottie White Heart,9,2025-01-31 11:00:00,3.39,12117,United Kingdom
536060,84029E,Red Woolly Hottie White Heart,4,2025-08-26 11:00:00,3.39,12151,United Kingdom
536060,84029E,Red Woolly Hottie White Heart,5,2024-05-30 23:00:00,3.39,12079,Germany
536060,84029G,Knitted Union Flag Hot Water Bottle,1,2025-04-06 07:00:00,3.39,12050,United Kingdom
536060,71053,White Metal Lantern,11,2025-07-08 15:00:00,3.39,12086,United Kingdom
536061,22633,Hand Warmer Union Jack,10,2024-05-25 17:00:00,1.85,12096,Spain
536061,21730,Glass Star Frosted T-Light Holder,11,2025-03-19 07:00:00,4.25,12115,United Kingdom
536061,22752,Set 7 Babushka Nesting Boxes,1,2025-06-11 19:00:00,7.65,12091,France
536061,84029E,Red Woolly Hottie White Heart,8,2025-05-07 02:00:00,3.39,12002,United Kingdom
536062,85123A,White Hanging Heart T-Light Holder,10,2025-02-05 16:00:00,2.55,12005,United Kingdom
536062,85123A,White Hanging Heart T-Light Holder,2,2025-08-12 19:00:00,2.55,,United Kingdom
536062,84029E,Red Woolly Hottie White Heart,12,2024-01-04 09:00:00,3.39,12065,United Kingdom
536062,85123A,White Hanging Heart T-Light Holder,2,2024-08-29 09:00:00,2.55,12058,United Kingdom
536063,22752,Set 7 Babushka Nesting Boxes,10,2025-09-15 02:00:00,7.65,12138,United Kingdom
536063,85123A,White Hanging Heart T-Light Holder,5,2024-05-27 22:00:00,2.55,12032,Germany
536063,84029G,Knitted Union Flag Hot Water Bottle,2,2024-04-01 13:00:00,3.39,12177,Netherlands
536063,71053,White Metal Lantern,10,2024-02-20 13:00:00,3.39,12099,United Kingdom
536064,85123A,White Hanging Heart T-Light Holder,5,2025-05-21 21:00:00,2.55,12104,United Kingdom
536064,22633,Hand Warmer Union Jack,4,2025-07-20 11:00:00,1.85,12013,United Kingdom
536064,84029E,Red Woolly Hottie White Heart,11,2024-08-13 14:00:00,3.39,12137,United Kingdom
536064,85123A,White Hanging Heart T-Light Holder,2,2025-07-17 15:00:00,2.55,12116,Germany
536065,22633,Hand Warmer Union Jack,11,2024-07-19 22:00:00,1.85,12162,France
536065,84029E,Red Woolly Hottie White Heart,2,2025-08-10 02:00:00,3.39,12032,United Kingdom
536065,22633,Hand Warmer Union Jack,9,2024-07-25 03:00:00,1.85,12159,United Kingdom
536065,84406B,Cream Cupid Hearts Coat Hanger,0,2024-02-12 17:00:00,2.75,12075,Germany
536066,84029G,Knitted Union Flag Hot Water Bottle,8,2024-04-15 13:00:00,3.39,12098,United Kingdom
536066,71053,White Metal Lantern,1,2024-05-06 22:00:00,3.39,12093,United Kingdom
536066,84029G,Knitted Union Flag Hot Water Bottle,4,2024-12-16 00:00:00,3.39,12087,United Kingdom
536066,71053,White Metal Lantern,9,2024-11-03 17:00:00,3.39,12018,United Kingdom
536067,22752,Set 7 Babushka Nesting Boxes,3,2024-07-23 16:00:00,7.65,12043,United Kingdom
536067,84029E,Red Woolly Hottie White Heart,11,2025-06-17 06:00:00,3.39,12030,United Kingdom
536067,22633,Hand Warmer Union Jack,6,2024-09-13 13:00:00,1.85,12048,France
536067,22752,Set 7 Babushka Nesting Boxes,8,2024-07-04 01:00:00,7.65,12016,United Kingdom
536068,84029E,Red Woolly Hottie White Heart,9,2025-04-16 13:00:00,3.39,12012,Germany
536068,84029G,Knitted Union Flag Hot Water Bottle,12,2025-10-09 03:00:00,3.39,12070,United Kingdom
536068,85123A,White Hanging Heart T-Light Holder,5,2025-01-01 13:00:00,2.55,12038,United Kingdom
536068,71053,White Metal Lantern,4,2024-06-18 00:00:00,3.39,12078,United Kingdom
536069,21730,Glass Star Frosted T-Light Holder,2,2025-03-08 01:00:00,4.25,12122,United Kingdom
